Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Investor 1,Investor 2,Investor 3,Investor 4,No of Investors
OpenSea,$13B,20-07-2021,E-commerce & direct-to-consumer,New York,United States,North America,2017,$427M,Andreessen Horowitz, Thirty Five Ventures, Sound Ventures,,3
Grammarly,$13B,10-10-2019,Internet software & services,San Francisco,United States,North America,2009,$400M,General Catalyst, Institutional Venture Partners, Breyer Capital,,3
Argo AI,$12B,12-07-2019,Artificial intelligence,Pittsburgh,United States,North America,2016,$4B,Volkswagen Group, Ford Autonomous Vehicles,,,2
Northvolt,$12B,12-06-2019,Other,Stockholm,Sweden,Europe,2016,$4B,Vattenfall, Volkswagen Group, Goldman Sachs,,3
Faire,$12B,30-10-2019,Artificial intelligence,San Francisco,United States,North America,2017,$1B,Khosla Ventures, Forerunner Ventures, Sequoia Capital,,3
Airtable,$12B,15-11-2018,Internet software & services,San Francisco,United States,North America,2013,$1B,Caffeinated Capital, CRV, Founder Collective,,3
Brex,$12B,05-10-2018,Fintech,San Francisco,United States,North America,2017,$1B,DST Global, Ribbit Capital, Greenoaks Capital Management,,3
Getir,$12B,26-03-2021,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,$2B,Tiger Global Management, Sequoia Capital, Revo Capital,,3
Biosplice Therapeutics,$12B,06-08-2018,Health,San Diego,United States,North America,2008,$799M,Vickers Venture Partners, IKEA GreenTech,,,2
Bitmain,$12B,06-07-2018,Hardware,Beijing,China,Asia,2015,$765M,Coatue Management, Sequoia Capital China, IDG Capital,,3
GoodLeap,$12B,13-10-2021,Internet software & services,Roseville,United States,North America,2003,$800M,New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management,,3
Xingsheng Selected,$12B,22-07-2020,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,$5B,KKR, Tencent Holdings, Sequoia Capital China,,3
ZongMu Technology,$11B,03-06-2021,Auto & transportation,Shanghai,China,Asia,2013,$376M,LTW Capital, Legend Capital, Qualcomm Ventures,,3
Bolt,$11B,29-05-2018,Auto & transportation,Tallinn,Estonia,Europe,2013,$1B,Didi Chuxing, Diamler, TMT Investments,,3
Swiggy,$11B,21-06-2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,$5B,Accel India, SAIF Partners, Norwest Venture Partners,,3
Weilong Foods,$11B,08-05-2021,Consumer & retail,Luohe,China,Asia,1999,$558M,Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital,,3
Global Switch,$11B,22-12-2016,Hardware,London,United Kingdom,Europe,1998,$5B,Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group,,3
Bolt,$11B,08-10-2021,Fintech,San Francisco,United States,North America,2014,$1B,Activant Capital, Tribe Capital, General Atlantic,,3
Celonis,$11B,26-06-2018,Data management & analytics,Munich,Germany,Europe,2011,$1B,Accel, 83North,,,2
Zuoyebang,$10B,18-07-2018,Edtech,Beijing,China,Asia,2014,$3B,Sequoia Capital China, Xiang He Capital, GGV Capital,,3
Ripple,$10B,20-12-2019,Fintech,San Francisco,United States,North America,2012,$294M,IDG Capital, Venture51, Lightspeed Venture Partners,,3
OYO Rooms,$10B,25-09-2018,Travel,Gurugram,India,Asia,2012,$3B,SoftBank Group, Sequoia Capital India,Lightspeed India Partners,,3
OutSystems,$10B,05-06-2018,Internet software & services,Boston,United States,North America,2001,$572M,KKR, ES Ventures, North Bridge Growth Equity,,3
ServiceTitan,$10B,14-11-2018,Internet software & services,Glendale,United States,North America,2012,$1B,Bessemer Venture Partners, ICONIQ Capital, Battery Ventures,,3
Alchemy,$10B,28-10-2021,Fintech,San Francisco,United States,North America,2017,$564M,DFJ Growth Fund, Coatue Management, Addition,,3
Chehaoduo,$10B,12-03-2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$4B,Sequoia Capital China, GX Capital,,,2
Digital Currency Group,$10B,01-11-2021,Fintech,New York,United States,North America,2015,$1B,Ribbit Capital, capitalG, Softbank Group,,3
Figma,$10B,30-04-2020,Internet software & services,San Francisco,United States,North America,2012,$333M,Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers,,3
Gusto,$10B,18-12-2015,Fintech,San Francisco,United States,North America,2011,$691M,General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers,,3
Lalamove,$10B,21-02-2019,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,$2B,MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital,,3
Notion Labs,$10B,01-04-2020,Internet software & services,San Francisco,United States,North America,2016,$343M,Index Ventures, Draft Ventures, Felicis Ventures,,3
reddit,$10B,31-07-2017,Internet software & services,San Francisco,United States,North America,2005,$1B,Y Combinator, Sequoia Capital, Coatue Management,,3
Talkdesk,$10B,03-10-2018,Internet software & services,San Francisco,United States,North America,2011,$497M,DJF, Salesforce Ventures, Storm Ventures,,3
Thrasio,$10B,15-07-2020,Other,Walpole,United States,North America,2018,$2B,Upper90, RiverPark Ventures, Advent International,,3
Dunamu,$9B,22-07-2021,Fintech,Seoul,South Korea,Asia,2012,$71M,Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities,,3
Yanolja,$9B,10-06-2019,Travel,Seoul,South Korea,Asia,2005,$2B,SBI Investment Korea, Partners Investment, GIC,,3
Pony.ai,$9B,11-07-2018,Artificial intelligence,Fremont,United States,North America,2016,$1B,Sequoia Capital China, IDG Capital, DCM Ventures,,3
Nuro,$9B,11-02-2019,Auto & transportation,Mountain View,United States,North America,2016,$2B,SoftBank Group, Greylock Partners, Gaorong Capital,,3
Snyk,$9B,21-01-2020,Cybersecurity,Boston,United States,North America,2015,$1B,BOLDstart Ventures, Google Ventures, Accel,,3
Kavak,$9B,01-10-2020,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,$2B,DST Global, SoftBank Group, Mountain Nazca,,3
N26,$9B,10-01-2019,Fintech,Berlin,Germany,Europe,2013,$2B,Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures,,3
Klaviyo,$9B,17-11-2020,Internet software & services,Boston,United States,North America,2012,$679M,Summit Partners, Accel, Astral Capital,,3
Niantic,$9B,24-11-2017,Mobile & telecommunications,San Francisco,United States,North America,2015,$770M,Nintendo, Google, Pokemon Company International, Spark Capital,4
Tanium,$9B,31-03-2015,Cybersecurity,Kirkland,United States,North America,2007,$775M,Andreessen Horowitz, Nor-Cal Invest, TPG Growth,,3
Dream11,$8B,09-04-2019,Internet software & services,Mumbai,India,Asia,2007,$2B,Kaalari Capital, Tencent Holdings, Steadview Capital,,3
DJI Innovations,$8B,23-01-2015,Hardware,Shenzhen,China,Asia,2006,$105M,Accel Partners, Sequoia Capital,,,2
Netskope,$8B,13-11-2018,Cybersecurity,Santa Clara,United States,North America,2012,$1B,Lightspeed Venture Partners, Social Capital, Accel,,3
Razorpay,$8B,11-10-2020,Fintech,Bengaluru,India,Asia,2013,$742M,Sequoia Capital India, Tiger Global Management, Matrix Partners India,,3
Dapper Labs,$8B,30-03-2021,Fintech,Vancouver,Canada,North America,2018,$607M,Union Square Ventures, Venrock, Andreessen Horowitz,,3
Lacework,$8B,07-01-2021,Cybersecurity,San Jose,United States,North America,2015,$2B,Sutter Hill Ventures, Liberty Global Ventures, Coatue Management,,3
Tipalti,$8B,06-10-2020,Fintech,San Mateo,United States,North America,2010,$549M,01 Advisors, Zeev Ventures, Group 11,,3
Hopin,$8B,10-11-2020,Internet software & services,London,United Kingdom,Europe,2019,$1B,Accel, Northzone Ventures, Institutional Venture Partners,,3
Caris Life Sciences,$8B,12-05-2021,Health,Irving,United States,North America,1996,$1B,Sixth Street Partners, OrbiMed Advisors, Highland Capital Management,,3
Ramp,$8B,29-03-2021,Fintech,New York,United States,North America,2019,$660M,D1 Capital Partners, Stripe, Coatue Management,,3
Tempus,$8B,21-03-2018,Health,Chicago,United States,North America,2015,$820M,New Enterprise Associates, T. Rowe Associates, Lightbank,,3
Fireblocks,$8B,27-07-2021,Fintech,New York,United States,North America,2018,$1B,Tenaya Capital, Coatue Management, Stripes Group,,3
Flexport,$8B,30-04-2018,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$2B,Bloomberg Beta, Founders Fund, First Round Capital,,3
National Stock Exchange of India,$7B,01-07-2020,Fintech,Mumbai,India,Asia,1998,$297M,TA Associates, SoftBank Group, GS Growth,,3
Meicai,$7B,22-06-2016,Mobile & telecommunications,Beijing,China,Asia,2014,$1B,Tiger Global Management, Blue Lake Capital, ZhenFund,,3
Impossible Foods,$7B,13-05-2019,Consumer & retail,Redwood City,United States,North America,2011,$2B,Khosla Ventures, Horizons Ventures, Temasek Holdings,,3
CRED,$7B,06-04-2021,Fintech,Bengaluru,India,Asia,2018,$922M,Tiger Global Management, DST Global, Sequoia Capital India,,3
Attentive,$7B,23-09-2020,Mobile & telecommunications,Hoboken,United States,North America,2016,$863M,NextView Ventures, Eniac Ventures, Sequoia Capital,,3
Ola Cabs,$7B,27-10-2014,Auto & transportation,Bengaluru,India,Asia,2010,$4B,Accel Partners, SoftBank Group, Sequoia Capital,,3
Rippling,$7B,04-08-2020,Internet software & services,San Francisco,United States,North America,2017,$447M,Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers,,3
Carta,$7B,06-05-2019,Fintech,San Francisco,United States,North America,2012,$1B,Menlo Ventures, Spark Capital, Union Square Ventures,,3
Toss,$7B,09-12-2018,Fintech,Seoul,South Korea,Asia,2013,$844M,Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers,,3
Ziroom,$7B,17-01-2018,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,$2B,Sequoia Capital China, Warburg Pincus, General Catalyst,,3
Scale AI,$7B,05-08-2019,Artificial intelligence,San Francisco,United States,North America,2018,$603M,Accel, Y Combinator, Index Ventures,,3
Gong,$7B,12-08-2020,Artificial intelligence,Palo Alto,United States,North America,2015,$583M,Norwest Venture Partners, Next World Capital, Wing Venture Capital,,3
TripActions,$7B,08-11-2018,Travel,Palo Alto,United States,North America,2015,$912M,Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures,,3
1Password,$7B,08-07-2021,Cybersecurity,Toronto,Canada,North America,2005,$920M,Slack Fund, Accel, Skip Capital,,3
Automation Anywhere,$7B,02-07-2018,Artificial intelligence,San Jose,United States,North America,2003,$849M,General Atlantic, Goldman Sachs, New Enterprise Associates,,3
Gemini,$7B,19-11-2021,Fintech,New York,United States,North America,2015,$424M,Morgan Creek Digital, Marcy Venture Partners, 10T Fund,,3
ConsenSys,$7B,17-11-2021,Fintech,New York,United States,North America,2014,$660M,Third Point, Electric Capital, Coinbase Ventures,,3
Ro,$7B,27-07-2020,Health,New York,United States,North America,2017,$1B,Initialized Capital, General Catalyst, SignalFire,,3
Black Unicorn Factory,$6B,20-05-2021,Other,Los Angeles,United States,North America,2020,$645M,Barter Ventures,,,,1
Easyhome,$6B,12-02-2018,Consumer & retail,Beijing,China,Asia,1999,$2B,Alibaba Group, Boyu Capital, Borui Capital,,3
WeDoctor,$6B,22-09-2015,Health,Hangzhou,China,Asia,2010,$1B,Tencent, Morningside Group,,,2
SVOLT,$6B,08-06-2020,Auto & transportation,Changzhou,China,Asia,2018,$3B,IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management,3
Airwallex,$6B,25-03-2019,Fintech,Melbourne,Australia,Oceania,2015,$802M,DST Global, Sequoia Capital China, Tencent Holdings,,3
Deel,$6B,21-04-2021,Fintech,San Francisco,United States,North America,2018,$629M,Andreessen Horowitz, Spark Capital, Y Combinator,,3
Mambu,$6B,06-01-2021,Fintech,Amsterdam,Netherlands,Europe,2011,$448M,Runa Capital, Acton Capital Partners, Point Nine Capital,,3
Mollie,$6B,08-09-2020,Fintech,Amsterdam,Netherlands,Europe,2004,$928M,Technology Crossover Ventures,,,,1
Doctolib,$6B,19-03-2019,Health,Paris,France,Europe,2013,$815M,BPI France, Kerala Ventures, Accel,,3
FiveTran,$6B,30-06-2020,Data management & analytics,Oakland,United States,North America,2012,$728M,Matrix Partners, Andreessen Horowitz, General Catalyst,,3
Postman,$6B,11-06-2020,Internet software & services,San Francisco,United States,North America,2014,$433M,Nexus Venture Partners, CRV, Insight Partners,,3
Back Market,$6B,18-05-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2014,$1B,Aglae Ventures, Eurazeo, Daphni,,3
Cityblock Health,$6B,10-12-2020,Health,Brooklyn,United States,North America,2017,$891M,Thrive Capital, Maverick Ventures, Redpoint Ventures,,3
DataRobot,$6B,29-07-2019,Artificial intelligence,Boston,United States,North America,2012,$1B,New Enterprise Associates, Accomplice, IA Ventures,,3
Personio,$6B,19-01-2021,Internet software & services,Munich,Germany,Europe,2015,$524M,Global Founders Capital, Nortzone Ventures, Picus Capital,,3
RELEX Solutions,$6B,17-02-2022,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,$803M,Blackstone, Technology Crossover Ventures, Summit Partners,,3
Vice Media,$6B,02-04-2011,Internet software & services,Brooklyn,United States,North America,1994,$1B,Technology Crossover Ventures, A&E Television Networks,,,2
Workato,$6B,12-01-2021,Internet software & services,Mountain View,United States,North America,2013,$415M,Battery Ventures, Storm Ventures, Redpoint Ventures,,3
Upgrade,$6B,12-02-2018,Fintech,San Francisco,United States,North America,2016,$587M,Union Square Ventures, Ribbit Capital, VY Capital,,3
Lianjia,$6B,07-04-2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,$1B,Tencent, Baidu, Huasheng Capital,,3
Hinge Health,$6B,06-01-2021,Health,San Francisco,United States,North America,2015,$826M,Atomico, Insight Partners, Coatue Management,,3
Lyra Health,$6B,25-08-2020,Health,Burlingame,United States,North America,2015,$910M,Greylock Partners, Venrock, Providence Ventures,,3
Benchling,$6B,14-04-2021,Internet software & services,San Francisco,United States,North America,2012,$412M,Thrive Capital, Benchmark, MenloVentures,,3
Better.com,$6B,10-11-2020,Fintech,New York,United States,North America,2018,$405M,Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers,,3
iCapital Network,$6B,27-07-2021,Fintech,New York,United States,North America,2013,$729M,BlackRock, Blackstone, UBS,,3
Wiz,$6B,17-03-2021,Cybersecurity,Tel Aviv,Israel,Asia,2020,$600M,Insight Partners, Sequoia Capital, Index Ventures,,3
DailyHunt,$5B,22-12-2020,Internet software & services,Bengaluru,India,Asia,2007,$869M,Falcon Edge Capital, Omidyar Network, Sequoia Capital India,,3
Howden Group Holdings,$5B,29-09-2020,Other,London,United Kingdom,Europe,1994,$187M,General Atlantic, 3i Group, Huagai Capital,,3
Meesho,$5B,05-04-2021,Internet software & services,Bengaluru,India,Asia,2015,$1B,Venture Highway, Sequoia Capital India, Prosus Ventures,,3
Meizu Technology,$5B,23-07-2014,Hardware,Zhuhai,China,Asia,2003,$943M,Telling Telecommunication Holding Co., Alibaba Group,,,2
CloudWalk Technology,$5B,08-10-2018,Artificial intelligence,Guangzhou,China,Asia,2015,$514M,Oriza Holdings, Guangdong Technology Financial Group,,,2
Royole Corporation,$5B,18-08-2015,Hardware,Shenzhen,China,Asia,2012,$492M,Warmsun Holding, IDG Capital Partners,,,2
Monzo,$5B,31-10-2018,Fintech,London,United Kingdom,Europe,2015,$1B,Passion Capital, Thrive Capital, Orange Digital Ventures,,3
Socure,$5B,16-03-2021,Cybersecurity,New York,United States,North America,2012,$644M,Two Sigma Ventures, Flint Capital, Commerce Ventures,,3
VIPKid,$5B,04-08-2016,Edtech,Beijing,China,Asia,2013,$1B,Sequoia Capital China, Tencent Holdings, Sinovation Ventures,,3
Vinted,$5B,27-11-2019,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,$562M,Accel, Insight Partners, Burda Principal Investments,,3
Lendable,$5B,31-03-2021,Fintech,London,United Kingdom,Europe,2014,$286M,Ontario Teachers' Pension Plan, Goldman Sachs,,,2
UBTECH Robotics,$5B,25-07-2016,Hardware,Shenzhen,China,Asia,2012,$943M,CDH Investments, Goldstone Investments, Qiming Venture Partners,,3
Anduril,$5B,11-09-2019,Artificial intelligence,Irvine,United States,North America,2017,$691M,Andreessen Horowitz, Founders Fund, Revolution Ventures,,3
Checkr,$5B,19-09-2019,Internet software & services,San Francisco,United States,North America,2014,$559M,Y Combinator, Accel, T. Rowe Price,,3
Color,$5B,04-01-2021,Health,Burlingame,United States,North America,2013,$497M,General Catalyst, Viking Global Investors, T. Rowe Price,,3
Dataiku,$5B,04-12-2019,Internet software & services,New York,United States,North America,2013,$647M,Alven Capital, FirstMark Capital, capitalG,,3
BetterUp,$5B,25-02-2021,Internet software & services,San Francisco,United States,North America,2013,$567M,Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital,,3
Pleo,$5B,06-07-2021,Fintech,Copenhagen,Denmark,Europe,2015,$428M,Creandum, Founders, Kinnevik,,3
Trade Republic,$5B,20-05-2021,Fintech,Berlin,Germany,Europe,2015,$996M,Founders Fund, Accel, Creandum,,3
Chipone,$5B,16-12-2021,Hardware,Beijing,China,Asia,2008,$1B,China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment,,3
Collibra,$5B,29-01-2019,Data management & analytics,Brussels,Belgium,Europe,2008,$596M,Index Ventures, Battery Ventures, ICONIQ Capital,,3
Rappi,$5B,31-08-2018,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,$2B,DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures,4
6Sense,$5B,30-03-2021,Artificial intelligence,San Francisco,United States,North America,2013,$426M,Venrock, Battery Ventures, Insight Partners,,3
Cerebral,$5B,10-06-2021,Health,San Francisco,United States,North America,2020,$462M,Oak HC/FT Partners, Artis Ventures, WestCap Group,,3
Creditas,$5B,18-12-2020,Fintech,Sao Paulo,Brazil,South America,2012,$824M,Kaszek Ventures, Amadeus Capital Partners, Quona Capital,,3
OneTrust,$5B,11-07-2019,Internet software & services,Atlanta,United States,North America,2016,$926M,Insight Partners,,,,1
QuintoAndar,$5B,09-09-2019,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,$755M,Kaszek Ventures, General Atlantic, SoftBank Group,,3
C6 Bank,$5B,02-12-2020,Fintech,Sao Paulo,Brazil,South America,2018,$2B,Credit Suisse,,,,1
Cockroach Labs,$5B,12-01-2021,Data management & analytics,New York,United States,North America,2015,$633M,Google Ventures, Benchmark, FirstMark Capital,,3
Hopper,$5B,24-03-2021,Travel,Montreal,Canada,North America,2007,$599M,Capital One Growth Ventures, Citi Ventures, OMERS Ventures,,3
Icertis,$5B,17-07-2019,Artificial intelligence,Bellevue,United States,North America,2009,$371M,Eight Roads Ventures, Greycroft, Ignition Partners,,3
Moon Active,$5B,26-01-2020,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,$425M,Insight Partners, Andalusian Capital Partners,,,2
OfBusiness,$5B,31-07-2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$734M,Matrix Partners India, Falcon Edge Capital, SoftBank Group,,3
Ola Electric Mobility,$5B,02-07-2019,Auto & transportation,Bengaluru,India,Asia,2019,$761M,SoftBank Group, Tiger Global Management, Matrix Partners India,,3
Pine Labs,$5B,24-01-2020,Fintech,Noida,India,Asia,1998,$903M,Sequoia Capital India, Temasek, PayPal Ventures,,3
Qonto,$5B,11-01-2022,Fintech,Paris,France,Europe,2016,$704M,Alven Capital, Valar Ventures, Tencent Holdings,,3
SambaNova Systems,$5B,13-04-2021,Data management & analytics,Palo Alto,United States,North America,2017,$1B,Walden International, Google Ventures, Intel Capital,,3
United Imaging Healthcare,$5B,15-09-2017,Health,Shanghai,China,Asia,2011,$503M,China Life Insurance, China Development Bank Capital, CITIC Securities International,,3
WM Motor,$5B,08-03-2019,Auto & transportation,Shanghai,China,Asia,2015,$4B,Baidu Capital, Linear Venture, Tencent,,3
ZEPZ,$5B,23-08-2021,Fintech,London,United Kingdom,Europe,2010,$655M,Accel, Technology Crossover Ventures, LeapFrog Investments,,3
Abogen,$4B,29-11-2021,Health,Suzhou,China,Asia,2019,$1B,Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners,,3
Greensill,$4B,16-07-2018,Fintech,London,United Kingdom,Europe,2011,$2B,SoftBank Group, General Atlantic,,,2
HyalRoute,$4B,26-05-2020,Mobile & telecommunications,,Singapore,Asia,2015,$263M,Kuang-Chi,,,,1
Radiology Partners,$4B,26-02-2018,Health,El Segundo,United States,North America,2012,$1B,New Enterprise Associates, Starr Investment Holdings,,,2
Yello Mobile,$4B,11-11-2014,Mobile & telecommunications,Seoul,South Korea,Asia,2012,$216M,Formation 8,,,,1
Turing,$4B,20-12-2021,Internet software & services,Palo Alto,United States,North America,2018,$128M,Foundation Capital, Frontier Ventures, AltaIR Capital,,3
Lenskart,$4B,20-12-2019,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,$776M,Chiratae Ventures, PremjiInvest, Softbank,,3
Kraken,$4B,25-06-2019,Fintech,San Francisco,United States,North America,2011,$119M,Bnk To The Future, Trammell Ventures, SBI Investment,,3
Horizon Robotics,$4B,27-02-2019,Artificial intelligence,Beijing,China,Asia,2015,$2B,Hillhouse Capital Management, Linear Venture, Morningside Venture Capital,,3
MoonPay,$4B,22-11-2021,Fintech,Miami,United States,North America,2019,$555M,New Enterprise Associates, Coatue Management, Tiger Global Management,,3
Celsius Network,$4B,12-10-2021,Fintech,Hoboken,United States,North America,2017,$864M,WestCap Group, Caisse de depot et placement du Quebec,,,2
ChargeBee Technologies,$4B,20-04-2021,Fintech,Walnut,United States,North America,2011,$468M,Insight Partners, Tiger Global Management, Accel,,3
Coalition,$4B,17-03-2021,Cybersecurity,San Francisco,United States,North America,2017,$505M,Two Sigma Ventures, Flint Capital, Commerce Ventures,,3
Commure,$4B,16-09-2021,Internet software & services,San Francisco,United States,North America,2017,$542M,General Catalyst, HCA Healthcare,,,2
Flock Safety,$4B,13-07-2021,Hardware,Atlanta,United States,North America,2017,$381M,Matrix Partners, Initialized Capital, Tiger Global Management,,3
Handshake,$4B,12-05-2021,Internet software & services,San Francisco,United States,North America,2014,$434M,Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures,,3
Highspot,$4B,22-02-2021,Internet software & services,Seattle,United States,North America,2013,$643M,Madrona Venture Group, Shasta Ventures, Salesforce Ventures,,3
Indigo Ag,$4B,26-09-2017,Artificial intelligence,Boston,United States,North America,2014,$1B,Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.,,3
Mirakl,$4B,22-09-2020,E-commerce & direct-to-consumer,Paris,France,Europe,2011,$948M,Elaia Partners, 83North, Felix Capital,,3
Rec Room,$4B,23-03-2021,Internet software & services,Seattle,United States,North America,2016,$294M,First Round Capital, Sequoia Capital, Index Ventures,,3
Tekion,$4B,21-10-2020,Internet software & services,San Ramon,United States,North America,2016,$435M,Airbus Ventures, Index Ventures, Advent International,,3
Otto Bock HealthCare,$4B,24-06-2017,Health,Duderstadt,Germany,Europe,1919,$0M,EQT Partners,,,,1
Outreach,$4B,16-04-2019,Internet software & services,Seattle,United States,North America,2011,$489M,Mayfield Fund, M12, Trinity Ventures,,3
WeRide,$4B,23-12-2020,Auto & transportation,Guangzhou,China,Asia,2017,$1B,Atop Capital, IDInvest Partners, Qiming Venture Partners,,3
Applied Intuition,$4B,22-10-2020,Data management & analytics,Sunnyvale,United States,North America,2017,$352M,Andreessen Horowitz, Lux Capital, General Catalyst,,3
Course Hero,$4B,12-02-2020,Edtech,Redwood City,United States,North America,2006,$477M,NewView Capital, Maveron, Ridge Ventures,,3
Relativity,$4B,18-03-2021,Internet software & services,Chicago,United States,North America,2001,$125M,Silver Lake, ICONIQ Capital,,,2
